model,input_size,params_M,trainable_M,gflops,latency_ms_bs1,latency_ms_bs32_peritem,throughput_img_s_bs32
densenet121,224,6.957,6.957,2.865,9.589,1.8012,555.2
densenet161,224,26.479,26.479,7.785,13.073,4.0142,249.1
densenet169,224,12.489,12.489,3.396,13.58,2.2273,449.0
densenet201,224,18.099,18.099,4.339,16.253,2.9026,344.5
densexnet,224,7.22,7.22,2.865,9.675,1.8042,554.3
densexnet_cbam,224,7.351,7.351,2.865,10.031,1.8313,546.1
resnet50,224,23.514,23.514,4.109,3.514,1.6953,589.9
vgg16,224,134.273,134.273,15.466,8.527,3.5107,284.8
inception_v3,299,21.792,21.792,5.729,7.085,2.1094,474.1
xception,299,20.813,20.813,8.398,4.797,3.8174,262.0
efficientnet_b0,224,4.011,4.011,0.398,4.754,0.7902,1265.5
vit_small,224,21.667,21.667,4.25,3.075,1.8822,531.3
vit_base,224,85.801,85.801,16.867,8.777,6.012,166.3
swin_tiny,224,27.522,27.522,4.508,5.822,2.7907,358.3
convnext_tiny,224,27.822,27.822,4.47,3.289,2.1615,462.6
deit_small,224,21.667,21.667,4.25,3.097,1.8996,526.4
