crop,model,family,accuracy,balanced_accuracy,f1_weighted
cluster_bean,convnext_tiny,transformer,1.0,1.0,1.0
cluster_bean,swin_tiny,transformer,1.0,1.0,1.0
cluster_bean,densenet201,cnn,0.9968,0.9948,0.9968
cluster_bean,deit_small,transformer,0.9968,0.9948,0.9968
cluster_bean,vit_small,transformer,0.9935,0.9925,0.9935
cluster_bean,densexnet_cbam,cnn,0.9903,0.9901,0.9903
cluster_bean,densenet121,cnn,0.9903,0.9901,0.9903
cluster_bean,densenet161,cnn,0.9935,0.9896,0.9935
cluster_bean,densenet169,cnn,0.9903,0.9872,0.9903
cluster_bean,densexnet,cnn,0.9903,0.9844,0.9903
cowpea,densexnet,cnn,0.9964,0.9966,0.9964
cowpea,swin_tiny,transformer,0.9928,0.9933,0.9928
cowpea,vit_small,transformer,0.9928,0.9933,0.9928
cowpea,convnext_tiny,transformer,0.9928,0.9933,0.9928
cowpea,densenet121,cnn,0.9928,0.9927,0.9928
cowpea,densexnet_cbam,cnn,0.9928,0.9927,0.9928
cowpea,deit_small,transformer,0.9891,0.9899,0.9891
cowpea,densenet161,cnn,0.9891,0.9894,0.9891
cowpea,densenet169,cnn,0.9891,0.9894,0.9891
cowpea,densenet201,cnn,0.9891,0.9894,0.9891
okra,vit_small,transformer,1.0,1.0,1.0
okra,densenet121,cnn,1.0,1.0,1.0
okra,convnext_tiny,transformer,1.0,1.0,1.0
okra,densenet201,cnn,1.0,1.0,1.0
okra,densenet161,cnn,0.9972,0.9951,0.9972
okra,deit_small,transformer,0.9972,0.9935,0.9972
okra,swin_tiny,transformer,0.9972,0.9935,0.9972
okra,densexnet,cnn,0.9803,0.985,0.9805
okra,densenet169,cnn,0.9831,0.9608,0.9828
okra,densexnet_cbam,cnn,0.9775,0.9596,0.9775
potato,convnext_tiny,transformer,0.9833,0.9877,0.9834
potato,densenet169,cnn,0.9818,0.9852,0.9819
potato,densexnet,cnn,0.9803,0.9838,0.9803
potato,vit_small,transformer,0.9788,0.9832,0.9787
potato,densenet161,cnn,0.9742,0.982,0.9742
potato,swin_tiny,transformer,0.9803,0.9814,0.9804
potato,densenet201,cnn,0.9788,0.9804,0.9788
potato,densexnet_cbam,cnn,0.9757,0.9797,0.9759
potato,densenet121,cnn,0.9727,0.9781,0.9728
potato,deit_small,transformer,0.9742,0.9763,0.9743
